Date,Product Name,Category,Quantity Sold,Price per Unit,Total Revenue,Cost Price per Unit
2021-10-09,Paracetamol,Medicine,4,10.0,40.0,5.17
2024-11-14,Ranitidine,Medicine,6,293.37,1760.22,20.6
2024-06-09,Montelukast,Medicine,6,197.01,1182.06,289.86
2021-05-21,Paracetamol,Medicine,2,10.0,20.0,8.14
2021-08-09,Ibuprofen,Medicine,1,20.0,20.0,11.36
2023-03-05,Ibuprofen,Medicine,8,20.0,160.0,10.6
2024-07-04,Montelukast,Medicine,10,197.01,1970.1,289.86
2021-03-19,Antacid,Medicine,3,25.0,75.0,15.11
2022-10-19,Multivitamin,Wellness,4,50.0,200.0,27.89
2023-08-29,Ibuprofen,Medicine,10,20.0,200.0,12.03
2021-01-01,Antacid,Medicine,5,,125.0,20.59
2024-10-21,Sitagliptin,Medicine,9,113.65,1022.85,183.22
2021-08-10,Hand Sanitizer,Hygiene,6,100.0,600.0,66.7
2022-03-10,Multivitamin,Wellness,6,50.0,300.0,33.39
2022-05-04,Ibuprofen,Medicine,9,20.0,180.0,13.79
2023-07-21,Sunscreen,Hygiene,7,150.0,1050.0,77.5
2021-02-19,Antacid,Medicine,3,25.0,75.0,19.69
2024-02-23,Omeprazole,Medicine,2,448.97,897.94,38.33
2024-12-11,Protein Powder,Wellness,5,114.35,571.75,141.55
2023-01-04,Hand Sanitizer,Hygiene,9,100.0,900.0,84.22
2023-06-08,Hand Sanitizer,Hygiene,7,100.0,700.0,87.84
2021-09-30,Cough Syrup,Medicine,8,80.0,640.0,66.76
2023-04-19,Sunscreen,Hygiene,7,150.0,1050.0,118.3
2023-07-11,Deodorant,Hygiene,3,200.0,600.0,119.55
2022-05-26,Sunscreen,Hygiene,4,150.0,600.0,89.97
2024-10-26,Warfarin,Medicine,4,66.24,264.96,184.65
2024-03-10,Doxycycline,Medicine,10,336.84,3368.4,249.52
2023-04-10,Paracetamol,Medicine,3,10.0,30.0,6.6
2021-01-05,Ibuprofen,Medicine,2,20.0,40.0,15.76
2023-09-17,Ibuprofen,Medicine,3,20.0,60.0,11.15
2021-03-04,Protein Powder,Wellness,4,500.0,2000.0,371.68
2024-06-28,Toothpaste,Hygiene,9,81.02,729.18,249.98
2022-11-27,Antacid,Medicine,3,25.0,75.0,19.52
2022-02-25,Multivitamin,Wellness,3,50.0,150.0,33.56
2024-09-15,Gliclazide,Medicine,6,262.4,1574.4,221.17
2024-08-27,Pantoprazole,Medicine,4,25.85,103.4,72.35
2022-07-27,Protein Powder,Wellness,2,500.0,1000.0,353.17
2022-10-20,Face Mask,Hygiene,1,15.0,15.0,10.23
2022-02-21,Deodorant,Hygiene,4,200.0,800.0,130.81
2022-04-14,Antacid,Medicine,9,25.0,225.0,14.05
2022-04-17,Antacid,Medicine,1,25.0,25.0,20.49
2021-07-05,Cough Syrup,Medicine,1,80.0,80.0,40.47
2022-02-09,Paracetamol,Medicine,10,10.0,100.0,6.8
2024-02-02,Clopidogrel,Medicine,10,315.78,3157.8,223.85
2024-04-15,Ranitidine,Medicine,8,293.37,2346.96,20.6
2021-10-25,Sunscreen,Hygiene,3,150.0,450.0,88.5
2022-04-16,Multivitamin,Wellness,5,50.0,250.0,28.65
2021-06-04,Antacid,Medicine,8,25.0,200.0,17.02
2022-05-15,Deodorant,Hygiene,4,200.0,800.0,110.89
2023-01-14,Paracetamol,Medicine,4,10.0,40.0,7.8
2024-08-20,Losartan,Medicine,3,405.07,1215.21,242.57
2021-07-30,Ibuprofen,Medicine,2,20.0,40.0,11.14
2023-02-24,Antacid,Medicine,4,25.0,100.0,14.88
2021-12-18,Ibuprofen,Medicine,4,20.0,80.0,17.02
2024-08-18,Metformin,Medicine,5,319.74,1598.7,7.8
2021-07-21,Face Mask,Hygiene,8,15.0,120.0,8.55
2022-02-07,Hand Sanitizer,Hygiene,4,100.0,400.0,66.77
2023-06-19,Antacid,Medicine,6,25.0,150.0,20.14
2021-09-06,Sunscreen,Hygiene,9,150.0,1350.0,89.91
2021-05-24,Cough Syrup,Medicine,2,80.0,160.0,52.33
2024-04-19,Lamotrigine,Medicine,6,320.14,1920.84,149.66
2024-07-31,Ramipril,Medicine,7,36.78,257.46000000000004,228.73
2024-07-05,Sunscreen,Hygiene,1,176.57,176.57,79.85
2024-04-14,Doxycycline,Medicine,2,336.84,673.68,249.52
2022-02-25,Multivitamin,Wellness,6,50.0,300.0,25.54
2023-12-09,Antacid,Medicine,2,25.0,50.0,21.62
2024-03-10,Clarithromycin,Medicine,1,375.57,375.57,69.74
2022-07-25,Hand Sanitizer,Hygiene,7,100.0,700.0,65.03
2022-12-05,Multivitamin,Wellness,5,50.0,250.0,29.88
2023-10-24,Ibuprofen,Medicine,10,20.0,200.0,15.26
2021-11-05,Face Mask,Hygiene,6,15.0,90.0,7.73
2024-09-15,Hydroxyzine,Medicine,8,128.61,1028.88,100.47
2021-09-09,Antacid,Medicine,6,25.0,150.0,18.1
2021-02-17,Sunscreen,Hygiene,6,150.0,900.0,116.77
2023-04-24,Antacid,Medicine,10,25.0,250.0,18.17
2024-12-19,Doxycycline,Medicine,10,336.84,3368.4,249.52
2023-10-09,Cough Syrup,Medicine,6,80.0,480.0,68.18
2022-04-11,Ibuprofen,Medicine,5,20.0,100.0,14.39
2024-02-13,Amoxicillin,Medicine,10,82.2,822.0,84.47
